,ISO3,Meses_x,YEAR_x,Unidad_x,Var_Temperatura,Simbolo_x,Latitud,Longitud
150,DEU,Enero,2020,°C,4.364,Fc,51.2003,6.6939
151,DEU,Enero,2020,°C,4.364,Fc,49.0167,12.0833
152,DEU,Enero,2020,°C,4.364,Fc,51.7167,8.7667
153,DEU,Enero,2020,°C,4.364,Fc,48.7636,11.4261
154,DEU,Enero,2020,°C,4.364,Fc,49.4783,10.9903
155,DEU,Enero,2020,°C,4.364,Fc,49.7944,9.9294
156,DEU,Enero,2020,°C,4.364,Fc,48.3984,9.9916
157,DEU,Enero,2020,°C,4.364,Fc,49.1404,9.218
158,DEU,Enero,2020,°C,4.364,Fc,48.895,8.705
159,DEU,Enero,2020,°C,4.364,Fc,52.4231,10.7872
160,DEU,Enero,2020,°C,4.364,Fc,51.5339,9.9356
161,DEU,Enero,2020,°C,4.364,Fc,51.5232,6.9253
162,DEU,Enero,2020,°C,4.364,Fc,48.4833,9.2167
163,DEU,Enero,2020,°C,4.364,Fc,50.3597,7.5978
164,DEU,Enero,2020,°C,4.364,Fc,53.55,8.5833
165,DEU,Enero,2020,°C,4.364,Fc,51.6167,7.2
166,DEU,Enero,2020,°C,4.364,Fc,49.5964,11.0044
167,DEU,Enero,2020,°C,4.364,Fc,50.9917,7.1367
168,DEU,Enero,2020,°C,4.364,Fc,51.1802,7.1872
169,DEU,Enero,2020,°C,4.364,Fc,50.9272,11.5864
170,DEU,Enero,2020,°C,4.364,Fc,49.7567,6.6414
171,DEU,Enero,2020,°C,4.364,Fc,51.4592,6.6197
172,DEU,Enero,2020,°C,4.364,Fc,52.1503,10.3593
173,DEU,Enero,2020,°C,4.364,Fc,50.8756,8.0167
174,DEU,Enero,2020,°C,4.364,Fc,52.15,9.95
175,DEU,Enero,2020,°C,4.364,Fc,51.9,8.3833
176,DEU,Enero,2020,°C,4.364,Fc,51.7606,14.3342
177,DEU,Enero,2020,°C,4.364,Fc,49.4447,7.7689
178,DEU,Enero,2020,°C,4.364,Fc,53.6333,11.4167
179,DEU,Enero,2020,°C,4.364,Fc,48.8975,9.1919
180,DEU,Enero,2020,°C,4.364,Fc,48.7406,9.3108
181,DEU,Enero,2020,°C,4.364,Fc,51.5713,6.9827
182,DEU,Enero,2020,°C,4.364,Fc,51.1714,6.9394
183,DEU,Enero,2020,°C,4.364,Fc,53.7547,9.6536
184,DEU,Enero,2020,°C,4.364,Fc,53.6591,9.8009
185,DEU,Enero,2020,°C,4.364,Fc,48.8597,9.185
186,DEU,Enero,2020,°C,4.364,Fc,47.8078,9.6417
187,DEU,Enero,2020,°C,4.364,Fc,48.0667,11.6667
188,DEU,Enero,2020,°C,4.364,Fc,48.2,11.3667
189,DEU,Enero,2020,°C,4.364,Fc,47.9133,11.4278
190,DEU,Enero,2020,°C,4.364,Fc,49.4011,8.6297
191,DEU,Enero,2020,°C,4.364,Fc,50.7794,6.1625
192,DEU,Enero,2020,°C,4.364,Fc,48.0833,11.6833
193,DEU,Enero,2020,°C,4.364,Fc,48.9064,9.1414
194,DEU,Enero,2020,°C,4.364,Fc,54.3333,10.0833
195,DEU,Enero,2020,°C,4.364,Fc,50.1678,8.5719
196,DEU,Enero,2020,°C,4.364,Fc,50.4144,7.4606
197,DEU,Enero,2020,°C,4.364,Fc,49.2933,8.5219
198,DEU,Enero,2020,°C,4.364,Fc,52.3667,13.6167
199,DEU,Enero,2020,°C,4.364,Fc,51.4333,7.3333
200,DEU,Enero,2020,°C,4.364,Fc,50.1328,8.9169
201,DEU,Enero,2020,°C,4.364,Fc,50.8782,12.0824
202,DEU,Enero,2020,°C,4.364,Fc,51.3833,7.6667
203,DEU,Enero,2020,°C,4.364,Fc,50.8,6.4833
204,DEU,Enero,2020,°C,4.364,Fc,54.7819,9.4367
205,DEU,Enero,2020,°C,4.364,Fc,48.52,9.0556
206,DEU,Enero,2020,°C,4.364,Fc,50.7189,12.4961
207,DEU,Enero,2020,°C,4.364,Fc,50.5833,8.6667
208,DEU,Enero,2020,°C,4.364,Fc,51.3,6.85
209,DEU,Enero,2020,°C,4.364,Fc,51.6167,7.5167
210,DEU,Enero,2020,°C,4.364,Fc,47.6633,9.1753
211,DEU,Enero,2020,°C,4.364,Fc,48.0603,8.4586
212,DEU,Enero,2020,°C,4.364,Fc,51.6667,7.1167
213,DEU,Enero,2020,°C,4.364,Fc,49.6319,8.3653
214,DEU,Enero,2020,°C,4.364,Fc,51.34,7.0416
215,DEU,Enero,2020,°C,4.364,Fc,52.2883,8.9167
216,DEU,Enero,2020,°C,4.364,Fc,51.8333,12.2333
217,DEU,Enero,2020,°C,4.364,Fc,54.0714,9.99
218,DEU,Enero,2020,°C,4.364,Fc,53.7064,10.0103
219,DEU,Enero,2020,°C,4.364,Fc,49.8917,10.8917
220,DEU,Enero,2020,°C,4.364,Fc,53.0506,8.6317
221,DEU,Enero,2020,°C,4.364,Fc,51.2556,6.3917
222,DEU,Enero,2020,°C,4.364,Fc,50.8167,8.7667
223,DEU,Enero,2020,°C,4.364,Fc,53.5167,8.1333
224,DEU,Enero,2020,°C,4.364,Fc,52.2833,7.4333
225,DEU,Enero,2020,°C,4.364,Fc,50.8161,7.1556
226,DEU,Enero,2020,°C,4.364,Fc,49.9481,11.5783
227,DEU,Enero,2020,°C,4.364,Fc,53.2525,10.4144
228,DEU,Enero,2020,°C,4.364,Fc,51.66,6.9642
229,DEU,Enero,2020,°C,4.364,Fc,51.55,7.3167
230,DEU,Enero,2020,°C,4.364,Fc,51.9378,8.8833
231,DEU,Enero,2020,°C,4.364,Fc,51.3967,8.0644
232,DEU,Enero,2020,°C,4.364,Fc,51.2198,7.6273
233,DEU,Enero,2020,°C,4.364,Fc,48.5397,12.1508
234,DEU,Enero,2020,°C,4.364,Fc,52.4117,12.5561
235,DEU,Enero,2020,°C,4.364,Fc,51.8333,6.6167
236,DEU,Enero,2020,°C,4.364,Fc,49.9757,9.1478
237,DEU,Enero,2020,°C,4.364,Fc,52.6256,10.0825
238,DEU,Enero,2020,°C,4.364,Fc,47.7333,10.3167
239,DEU,Enero,2020,°C,4.364,Fc,50.5528,9.6775
240,DEU,Enero,2020,°C,4.364,Fc,51.5667,6.7333
241,DEU,Enero,2020,°C,4.364,Fc,48.8372,10.0936
242,DEU,Enero,2020,°C,4.364,Fc,51.6667,8.35
243,DEU,Enero,2020,°C,4.364,Fc,52.1146,8.6734
244,DEU,Enero,2020,°C,4.364,Fc,50.8719,6.6961
245,DEU,Enero,2020,°C,4.364,Fc,49.995,8.4119
246,DEU,Enero,2020,°C,4.364,Fc,48.7133,9.0028
247,DEU,Enero,2020,°C,4.364,Fc,50.9833,11.3167
248,DEU,Enero,2020,°C,4.364,Fc,50.495,12.1383
249,DEU,Enero,2020,°C,4.364,Fc,50.4286,7.4614
250,DEU,Enero,2020,°C,4.364,Fc,51.0964,6.84
251,DEU,Enero,2020,°C,4.364,Fc,47.8561,12.1289
252,DEU,Enero,2020,°C,4.364,Fc,53.5569,13.2608
253,DEU,Enero,2020,°C,4.364,Fc,51.0883,6.5875
254,DEU,Enero,2020,°C,4.364,Fc,51.6,7.1333
